class,line
55,89
350,41
350,90
350,91
350,92
350,108
350,112
350,125
350,144
350,145
350,201
350,542
350,574
350,587
350,625
350,626
350,697
350,703
350,741
350,746
350,747
350,788
350,793
350,794
350,834
350,839
350,840
350,852
350,853
350,854
350,862
350,863
350,864
350,865
350,867
350,868
350,882
350,885
350,900
350,905
350,906
350,950
350,955
350,956
350,1002
350,1008
350,1019
350,1020
350,1021
350,1032
350,1035
350,1049
350,1054
350,1055
350,1097
350,1103
350,1145
350,1150
350,1163
350,1168
350,1169
350,1213
350,1218
350,1219
350,1239
350,1382
350,1385
350,1386
350,1387
350,1388
350,1389
350,1392
350,1395
350,1396
350,1397
350,1400
350,1401
350,1402
350,1405
350,1406
350,1407
350,1427
350,1428
350,1429
350,1430
350,1433
350,1434
350,1436
350,1439
350,1440
350,1441
350,1442
350,1443
350,1445
350,1449
350,1450
350,1452
350,1455
350,1456
350,1457
350,1459
350,1460
350,1461
350,1462
350,1467
350,1470
350,1471
350,1472
350,1474
350,1478
350,1479
350,1481
350,1484
350,1485
350,1487
350,1488
350,1490
350,1491
350,1492
350,1493
350,1497
350,1503
354,37
354,48
354,50
354,51
354,52
354,53
354,55
354,58
354,59
354,68
354,77
354,81
354,83
354,84
354,87
354,88
354,89
354,90
354,93
354,94
352,44
352,48
352,49
352,50
352,51
352,52
352,54
352,57
352,60
352,63
352,65
352,66
352,69
352,80
352,81
352,83
352,84
352,85
352,96
352,97
352,104
352,105
352,128
352,129
352,144
352,145
352,146
352,147
352,148
352,150
352,151
352,153
352,154
352,156
352,157
352,158
352,160
352,161
352,162
352,163
352,164
352,174
352,175
352,176
352,178
352,179
352,180
352,182
352,188
352,191
352,197
352,198
352,199
352,200
352,203
352,204
352,207
352,208
352,209
352,210
352,211
352,214
352,217
352,219
352,221
352,223
352,224
352,225
352,228
352,231
352,232
352,239
352,240
352,241
352,242
352,243
352,244
352,246
352,247
352,249
352,250
352,274
352,291
352,292
352,296
352,297
352,298
352,299
352,305
352,307
352,308
352,310
352,311
352,314
352,315
352,318
352,319
352,320
352,321
352,322
352,323
352,324
352,325
352,327
352,328
352,329
352,331
352,332
352,334
352,337
352,344
352,345
352,346
352,347
352,349
352,350
352,352
352,354
352,355
352,357
352,358
352,359
352,360
352,365
352,369
352,370
352,372
352,374
352,376
352,377
352,379
352,386
352,387
352,388
352,390
352,394
352,395
352,396
352,397
352,399
352,400
352,401
352,402
352,407
352,434
352,438
352,439
352,442
352,443
352,444
352,446
352,449
352,450
352,460
352,461
352,462
352,463
352,475
352,487
352,503
352,506
352,507
352,508
352,509
352,510
352,513
352,514
352,515
352,516
352,518
352,523
352,524
352,527
352,530
352,533
352,534
352,536
352,537
352,539
352,542
352,543
352,546
352,549
352,553
352,554
352,555
352,557
352,560
352,567
352,570
352,580
352,583
352,584
352,586
352,587
352,588
352,589
352,591
352,594
352,598
352,599
352,600
352,601
352,602
352,605
352,606
352,607
352,610
352,638
352,641
352,652
352,655
352,678
