class,line
11,49
11,50
11,51
11,52
11,53
11,60
11,63
11,66
11,70
11,73
11,76
11,77
11,78
11,79
11,81
11,89
11,90
11,93
11,94
11,96
11,97
11,100
11,101
11,103
11,105
11,106
11,108
11,109
11,111
11,113
11,114
11,116
11,118
11,121
11,122
11,124
11,126
11,128
11,130
11,132
11,133
11,134
11,135
11,137
11,138
11,139
11,141
11,142
11,145
11,146
11,149
11,150
11,152
11,154
11,156
11,157
11,160
11,161
11,163
11,166
11,167
11,168
11,169
11,175
11,176
11,178
11,180
11,182
11,183
11,185
11,186
11,188
11,190
11,191
11,194
11,195
11,197
11,198
11,200
11,201
11,202
11,203
11,205
11,206
11,207
11,296
11,304
12,95
12,199
12,288
15,1978
15,1979
15,1980
15,1981
15,1982
15,1983
26,200
26,202
26,204
26,205
26,168
26,169
15,2484
15,2486
15,2487
15,2495
15,2496
14,767
14,802
29,99
29,100
29,101
29,102
29,103
34,111
34,115
34,116
34,118
34,120
34,121
34,125
34,126
34,127
34,130
34,133
34,134
34,135
23,71
13,386
13,387
13,388
14,811
14,812
14,813
14,815
14,817
14,820
14,823
14,824
14,827
14,828
