workload,option,influence,kpi
fannie_mae_500k,Huffman,-0.2606259384786075,time
fannie_mae_500k,jobs,0.05127662864134047,time
fannie_mae_500k,blocksize,-0.40768201444092267,time
large,LZP,0.09535720785209416,time
large,ROLZX,0.439017793866889,time
large,RANK,0.026662639990877337,time
large,TEXT,0.05181335797656827,time
large,skip,0.02729101135528824,time
large,TPAQ,0.449395849230875,time
large,BWTS,0.135034820815888,time
large,LZ,0.06779885140364153,time
large,MTFT,-0.042728852871587134,time
large,SRT,0.07376581412374596,time
large,X86,0.053549205718800806,time
large,checksum,-0.07665893092662658,time
large,FPAQ,-0.04830010878470752,time
large,RLT,-0.13413065933347834,time
large,BWT,-0.05881188570763603,time
large,TPAQX,1.2601455792696676,time
large,CM,0.07747736711607367,time
large,ZRLT,0.059037799327478026,time
large,Range,0.010989106989603259,time
large,ROLZ,0.10333107873616555,time
large,ANS1,0.1247924013862233,time
large,Huffman,-0.2330173501597097,time
large,jobs,0.03073355872723804,time
large,blocksize,-0.3840467205844574,time
misc,LZP,0.10687235875542422,time
misc,ROLZX,0.5042545016885503,time
misc,RANK,0.0183714892718502,time
misc,TEXT,0.0683284075475093,time
misc,skip,0.04376922494438046,time
misc,TPAQ,0.5082756820612139,time
misc,BWTS,0.21670205550215885,time
misc,LZ,0.13554402645040364,time
misc,MTFT,-0.009407436405290877,time
misc,SRT,0.1254083244087187,time
misc,X86,0.06500083394655126,time
misc,checksum,-0.07112197975023958,time
misc,FPAQ,-0.05176954147961953,time
misc,RLT,-0.09302116526845713,time
misc,BWT,0.019250695608922987,time
misc,TPAQX,1.3808638034398566,time
misc,CM,0.11693675887517474,time
misc,ZRLT,0.06659502436192744,time
misc,Range,-0.01371744192939768,time
misc,ROLZ,0.25090034052577476,time
misc,ANS1,0.14312673792895306,time
misc,Huffman,-0.24781245052008322,time
misc,jobs,0.10110624802889147,time
misc,blocksize,-0.27208330789047286,time
silesia,LZP,0.08363763036453743,time
silesia,ROLZX,0.4232907935134098,time
silesia,RANK,0.026924850253626516,time
silesia,TEXT,0.044345860422781005,time
silesia,skip,0.016694164407150828,time
silesia,TPAQ,0.4700130587234047,time
silesia,BWTS,0.11912587383014837,time
silesia,LZ,0.03598420672382472,time
silesia,MTFT,-0.04786091772942693,time
silesia,SRT,0.0695334036159291,time
silesia,X86,0.04682313477407098,time
silesia,checksum,-0.08144653024008479,time
silesia,FPAQ,-0.046909178141873835,time
silesia,RLT,-0.14622206529972354,time
silesia,BWT,-0.07026576090659861,time
silesia,TPAQX,1.2802155606236023,time
silesia,CM,0.07257558112013228,time
silesia,ZRLT,0.05121364956117795,time
silesia,Range,0.00862177639823497,time
silesia,ROLZ,0.08606157208811288,time
silesia,ANS1,0.12648280104035642,time
silesia,Huffman,-0.23486284774688004,time
silesia,jobs,0.010580912948571053,time
silesia,blocksize,-0.34734556151750373,time
vmlinux,LZP,0.07351925342008847,time
vmlinux,ROLZX,0.1214118160059533,time
vmlinux,RANK,0.14891391026437314,time
vmlinux,TEXT,0.0770051755876171,time
vmlinux,skip,0.017868984839046736,time
vmlinux,TPAQ,0.057268350856071466,time
vmlinux,BWTS,0.634091559496109,time
vmlinux,LZ,0.09619087019556645,time
vmlinux,MTFT,0.10648109138927386,time
vmlinux,SRT,0.0816449025800049,time
vmlinux,X86,0.016687490008336747,time
vmlinux,checksum,-0.04370900636762211,time
vmlinux,FPAQ,0.11523651996051387,time
vmlinux,RLT,0.19770915419539178,time
vmlinux,BWT,-0.7836172243211893,time
vmlinux,TPAQX,0.19473089295121151,time
vmlinux,CM,0.015009624375206887,time
vmlinux,ZRLT,0.20779735254075793,time
vmlinux,Range,0.143716722576326,time
vmlinux,ROLZ,0.12011215962772775,time
vmlinux,ANS1,0.2419073274480129,time
vmlinux,Huffman,0.3571847044983826,time
vmlinux,jobs,0.06902845747505153,time
vmlinux,blocksize,-0.5217602300429609,time
ambivert,LZP,-0.019952155823239302,ratio
ambivert,ROLZX,0.040611174127522104,ratio
ambivert,RANK,-0.16771065005393826,ratio
ambivert,TEXT,0.015836444157530043,ratio
ambivert,skip,0.022786269632727632,ratio
ambivert,TPAQ,-0.09464070225464485,ratio
ambivert,BWTS,-0.045949782540011704,ratio
ambivert,LZ,-0.003150765353267284,ratio
ambivert,MTFT,-0.02378841861200434,ratio
ambivert,SRT,-0.05968782995273144,ratio
ambivert,X86,0.053285421786063526,ratio
ambivert,checksum,-0.0688470111640071,ratio
ambivert,FPAQ,-0.09488135818135343,ratio
ambivert,RLT,-0.05361393509669229,ratio
ambivert,BWT,0.1227075986169789,ratio
ambivert,TPAQX,-0.09938262526995835,ratio
ambivert,CM,-0.06911406980189043,ratio
ambivert,ZRLT,-0.05480615224845427,ratio
ambivert,Range,-0.07305056323051233,ratio
ambivert,ROLZ,-0.10081578799222425,ratio
ambivert,ANS1,1.4180666780647864,ratio
ambivert,Huffman,-0.10663147248483758,ratio
ambivert,jobs,0.06674772788144655,ratio
ambivert,blocksize,-0.39142154642630117,ratio
artificl,LZP,-0.04489902016622812,ratio
artificl,ROLZX,0.03784633665971396,ratio
artificl,RANK,-0.20997330180155283,ratio
artificl,TEXT,0.05312810604657794,ratio
artificl,skip,0.13122159921748794,ratio
artificl,TPAQ,-0.18313412359587747,ratio
artificl,BWTS,-0.05378059703150408,ratio
artificl,LZ,-0.0459656513887734,ratio
artificl,MTFT,-0.09986597894621459,ratio
artificl,SRT,-0.04439281583786135,ratio
artificl,X86,0.07443065098241732,ratio
artificl,checksum,-0.021622905791613817,ratio
artificl,FPAQ,-0.09124756139473236,ratio
artificl,RLT,-0.03595671290058928,ratio
artificl,BWT,-0.053700459842684664,ratio
artificl,TPAQX,-0.12700950466843866,ratio
artificl,CM,-0.09178520607232321,ratio
artificl,ZRLT,-0.031036734656967796,ratio
artificl,Range,-0.0005138650376705096,ratio
artificl,ROLZ,0.05326050711185931,ratio
artificl,ANS1,1.2851874983796647,ratio
artificl,Huffman,-0.13998700274657966,ratio
artificl,jobs,-0.07089806905886809,ratio
artificl,blocksize,-0.4080561762787419,ratio
deepfield,LZP,-0.01767603465546698,ratio
deepfield,ROLZX,0.03457856147178978,ratio
deepfield,RANK,-0.1499323483080304,ratio
deepfield,TEXT,0.013098742606512686,ratio
deepfield,skip,0.0339104352475692,ratio
deepfield,TPAQ,-0.08452817120233212,ratio
deepfield,BWTS,-0.05049415715101601,ratio
deepfield,LZ,-0.0029478098096929564,ratio
deepfield,MTFT,0.003911758984658285,ratio
deepfield,SRT,-0.039945668274924274,ratio
deepfield,X86,0.04802922098992561,ratio
deepfield,checksum,-0.06667459126262566,ratio
deepfield,FPAQ,-0.09514319074719287,ratio
deepfield,RLT,-0.0558240484611078,ratio
deepfield,BWT,0.11199079495864835,ratio
deepfield,TPAQX,-0.09544852648859259,ratio
deepfield,CM,-0.06669639510779596,ratio
deepfield,ZRLT,-0.06096687457437073,ratio
deepfield,Range,-0.07670534385634994,ratio
deepfield,ROLZ,-0.10434325786134958,ratio
deepfield,ANS1,1.4247561933768134,ratio
deepfield,Huffman,-0.10731178135466427,ratio
