workload,option,influence,kpi
psd-medium,iosCreateImagesetFolders,0.052368439117394014,time
psd-medium,bmp,-0.07722620673072045,time
psd-medium,gif,0.6387290462184444,time
psd-medium,ios,-0.901290832218834,time
psd-medium,androidMipmapInsteadOfDrawable,0.0006595606585998227,time
psd-medium,scaleIsHeightDp,0.008781489858733636,time
psd-medium,web,-1.4608929587635373,time
psd-medium,jpeg,-0.07746234227810699,time
psd-medium,floor,0.0016354585161566539,time
psd-medium,win,-0.585470630608836,time
psd-medium,antiAliasing,0.10343165371540354,time
psd-medium,skipUpscaling,0.014262226750855846,time
psd-medium,androidIncludeLdpiTvdpi,0.6375634916385078,time
psd-medium,png,0.014867382966039332,time
psd-medium,round,-0.0015796197234352548,time
psd-medium,threads,-0.9523242239893321,time
psd-medium,compression,0.0017984329867438947,time
psd-small,iosCreateImagesetFolders,0.08531567855957028,time
psd-small,bmp,-0.031397874514747515,time
psd-small,gif,0.31465390598354037,time
psd-small,ios,-0.8178614560994024,time
psd-small,androidMipmapInsteadOfDrawable,0.002096458131126806,time
psd-small,scaleIsHeightDp,0.00930544039585846,time
psd-small,web,-1.273624502541743,time
psd-small,jpeg,-0.04904178449951866,time
psd-small,floor,0.10291126110683406,time
psd-small,win,-0.5329873519806134,time
psd-small,antiAliasing,0.2074239029931146,time
psd-small,skipUpscaling,0.008247102604701606,time
psd-small,androidIncludeLdpiTvdpi,0.6460902388296255,time
psd-small,png,0.005883377107831964,time
psd-small,round,0.02039758479254969,time
psd-small,threads,-0.9007050373747172,time
psd-small,compression,-0.015031221512799748,time
svg-large,iosCreateImagesetFolders,0.07677582055593492,time
svg-large,bmp,-0.036354152126253717,time
svg-large,gif,-0.07039495412281496,time
svg-large,ios,-0.0578312287163913,time
svg-large,androidMipmapInsteadOfDrawable,0.053707270318933895,time
svg-large,scaleIsHeightDp,0.014510988768520573,time
svg-large,web,-0.04494537372463641,time
svg-large,jpeg,-0.016051437375641606,time
svg-large,floor,-0.0060458790977052515,time
svg-large,win,0.04098869001574021,time
svg-large,antiAliasing,0.059972580832000806,time
svg-large,skipUpscaling,0.020524805450955832,time
svg-large,androidIncludeLdpiTvdpi,0.031281717317610584,time
svg-large,png,-0.05820516007124903,time
svg-large,round,0.032985911273531246,time
svg-large,threads,-0.0643436064137644,time
svg-large,compression,-0.06542147134131342,time
svg-medium,iosCreateImagesetFolders,0.027280517895998505,time
svg-medium,bmp,-0.1493236802995881,time
svg-medium,gif,0.06522363148949223,time
svg-medium,ios,-0.7573640977529705,time
svg-medium,androidMipmapInsteadOfDrawable,-0.0017240497892273689,time
svg-medium,scaleIsHeightDp,0.021050232740734882,time
svg-medium,web,-1.3466960262669816,time
svg-medium,jpeg,-0.1576261629171712,time
svg-medium,floor,0.020881167916705242,time
svg-medium,win,-0.4559353027589008,time
svg-medium,antiAliasing,0.046099136243115985,time
svg-medium,skipUpscaling,0.013530839103806718,time
svg-medium,androidIncludeLdpiTvdpi,0.4637796389181314,time
svg-medium,png,-0.011283423755650423,time
svg-medium,round,0.04529824308384434,time
svg-medium,threads,0.28260239360852507,time
svg-medium,compression,-0.016108407187024984,time
svg-small,iosCreateImagesetFolders,-0.09939039666980504,time
svg-small,bmp,0.035690192948105826,time
svg-small,gif,0.088871961186692,time
svg-small,ios,-0.08426888300066952,time
svg-small,androidMipmapInsteadOfDrawable,0.00717676056269226,time
svg-small,scaleIsHeightDp,-0.005828286731931754,time
svg-small,web,-0.4126270380176967,time
svg-small,jpeg,-0.010782027745066822,time
svg-small,floor,-0.6397610458055495,time
svg-small,win,0.04809475534403778,time
svg-small,antiAliasing,0.0022276959806409647,time
svg-small,skipUpscaling,0.01008822714631393,time
svg-small,androidIncludeLdpiTvdpi,-0.25588887601633037,time
svg-small,png,0.017440588498367292,time
svg-small,round,-0.6381484740552099,time
svg-small,threads,-1.6424355646546365,time
svg-small,compression,-0.02261493978776395,time
jpeg-large,iosCreateImagesetFolders,0.10270004929490259,max-resident-size
jpeg-large,bmp,-0.03476437282981426,max-resident-size
jpeg-large,gif,0.036201519603235144,max-resident-size
jpeg-large,ios,-0.3708167513836968,max-resident-size
jpeg-large,androidMipmapInsteadOfDrawable,0.02473966197986812,max-resident-size
jpeg-large,scaleIsHeightDp,0.005313450885526494,max-resident-size
jpeg-large,web,-0.7409327942031935,max-resident-size
jpeg-large,jpeg,0.04019741687669923,max-resident-size
jpeg-large,floor,0.00814705312223138,max-resident-size
jpeg-large,win,-0.3126127372301834,max-resident-size
jpeg-large,antiAliasing,0.1532324410417681,max-resident-size
jpeg-large,skipUpscaling,0.009310446987233652,max-resident-size
jpeg-large,androidIncludeLdpiTvdpi,0.2818859259651857,max-resident-size
jpeg-large,png,-0.02711084122464076,max-resident-size
jpeg-large,round,-0.0009526736847911328,max-resident-size
jpeg-large,threads,-1.6969109858001934,max-resident-size
jpeg-large,compression,0.029286628218296862,max-resident-size
jpeg-medium,iosCreateImagesetFolders,0.028791077184259058,max-resident-size
jpeg-medium,bmp,-0.05686668498658609,max-resident-size
jpeg-medium,gif,0.6126305977993377,max-resident-size
jpeg-medium,ios,-0.5366638617902503,max-resident-size
jpeg-medium,androidMipmapInsteadOfDrawable,0.010609493561970733,max-resident-size
jpeg-medium,scaleIsHeightDp,-0.0028174213366916993,max-resident-size
jpeg-medium,web,-0.824316337523448,max-resident-size
